,Vision,Level One Chair Umpire,Level One Line Umpire,Level One Referee Course,Level One Roving Umpire Course,Level Two Referee,Level Two Roving Umpire
Roving Umpire (Sectional),1,0,0,0,1,0,1
Roving Umpire (USTA),1,0,0,1,1,1,1
"Chair Umpire (Sectional, USTA, National, Professional)",1,1,0,0,1,0,1
"Referee (Sectional, USTA, National, Professional)",1,0,0,1,1,1,1
"Line Umpire (USTA, National, Professional)",1,0,1,0,1,0,1
